date,price,term
2019-01-28,238.56878662109375,term1
2019-01-29,238.25222778320312,term1
2019-01-30,242.02389526367188,term1
2019-01-31,244.14947509765625,term1
2019-02-01,244.2670440673828,term1
2019-02-04,245.985595703125,term1
2019-02-05,247.0167999267578,term1
2019-02-06,246.69114685058594,term1
2019-02-07,244.33950805664062,term1
2019-02-08,244.637939453125,term1
2019-02-11,244.7736053466797,term1
2019-02-12,247.9212188720703,term1
2019-02-13,248.72628784179688,term1
2019-02-14,248.17453002929688,term1
2019-02-15,250.87890625,term1
2019-02-19,251.3131103515625,term1
2019-02-20,251.81959533691406,term1
2019-02-21,250.9241485595703,term1
2019-02-22,252.47988891601562,term1
2019-02-25,252.82362365722656,term1
2019-02-26,252.64266967773438,term1
2019-02-27,252.53411865234375,term1
2019-02-28,252.0638427734375,term1
2019-03-01,253.63768005371094,term1
2019-03-04,252.715087890625,term1
2019-03-05,252.37130737304688,term1
2019-03-06,250.8427734375,term1
2019-03-07,248.74429321289062,term1
2019-03-08,248.24685668945312,term1
2019-03-11,251.8466796875,term1
2019-03-12,252.79641723632812,term1
2019-03-13,254.46978759765625,term1
2019-03-14,254.3069610595703,term1
2019-03-15,255.56341552734375,term1
2019-03-18,256.489990234375,term1
2019-03-19,256.5536193847656,term1
2019-03-20,255.78134155273438,term1
2019-03-21,258.6703186035156,term1
2019-03-22,253.69189453125,term1
2019-03-25,253.5011444091797,term1
2019-03-26,255.39077758789062,term1
2019-03-27,254.0552520751953,term1
2019-03-28,255.01828002929688,term1
2019-03-29,256.6263122558594,term1
2019-04-01,259.6696472167969,term1
2019-04-02,259.7968444824219,term1
2019-04-03,260.2057189941406,term1
2019-04-04,260.8961181640625,term1
2019-04-05,262.15887451171875,term1
2019-04-08,262.3587646484375,term1
2019-04-09,261.0142517089844,term1
2019-04-10,261.9044494628906,term1
2019-04-11,261.83184814453125,term1
2019-04-12,263.6034240722656,term1
2019-04-15,263.4307861328125,term1
2019-04-16,263.6034240722656,term1
2019-04-17,262.9582214355469,term1
2019-04-18,263.4761962890625,term1
2019-04-22,263.7033386230469,term1
2019-04-23,266.074462890625,term1
2019-04-24,265.48394775390625,term1
2019-04-25,265.3203430175781,term1
2019-04-26,266.55596923828125,term1
2019-04-29,266.97381591796875,term1
2019-04-30,267.1100769042969,term1
2019-05-01,265.1024475097656,term1
2019-05-02,264.5300598144531,term1
2019-05-03,267.1191711425781,term1
2019-05-06,266.0199890136719,term1
2019-05-07,261.5774841308594,term1
2019-05-08,261.21405029296875,term1
2019-05-09,260.4237060546875,term1
2019-05-10,261.7319030761719,term1
2019-05-13,255.15451049804688,term1
2019-05-14,257.46209716796875,term1
2019-05-15,258.97015380859375,term1
2019-05-16,261.36859130859375,term1
2019-05-17,259.6787109375,term1
2019-05-20,257.9617004394531,term1
2019-05-21,260.2874755859375,term1
2019-05-22,259.4880676269531,term1
2019-05-23,256.31744384765625,term1
2019-05-24,256.8988342285156,term1
2019-05-28,254.50953674316406,term1
2019-05-29,252.80160522460938,term1
2019-05-30,253.49205017089844,term1
2019-05-31,250.07620239257812,term1
2019-06-03,249.44029235839844,term1
2019-06-04,254.854736328125,term1
2019-06-05,257.06231689453125,term1
2019-06-06,258.7339782714844,term1
2019-06-07,261.3230895996094,term1
2019-06-10,262.5223083496094,term1
2019-06-11,262.4586486816406,term1
2019-06-12,261.99530029296875,term1
2019-06-13,263.0764465332031,term1
2019-06-14,262.7857666015625,term1
2019-06-17,262.88568115234375,term1
2019-06-18,265.638427734375,term1
2019-06-19,266.2380065917969,term1
2019-06-20,268.7816162109375,term1
2019-06-21,268.3909606933594,term1
2019-06-24,268.06243896484375,term1
2019-06-25,265.4331970214844,term1
2019-06-26,265.1684875488281,term1
2019-06-27,266.1087341308594,term1
2019-06-28,267.47802734375,term1
2019-07-01,269.9064025878906,term1
2019-07-02,270.6092529296875,term1
2019-07-03,272.7727966308594,term1
2019-07-05,272.4624938964844,term1
2019-07-08,270.96533203125,term1
2019-07-09,271.3030700683594,term1
2019-07-10,272.5994873046875,term1
2019-07-11,273.2384948730469,term1
2019-07-12,274.4617004394531,term1
2019-07-15,274.5530700683594,term1
2019-07-16,273.6674499511719,term1
2019-07-17,271.80523681640625,term1
2019-07-18,272.80029296875,term1
2019-07-19,271.28485107421875,term1
2019-07-22,271.9512634277344,term1
2019-07-23,273.8957214355469,term1
2019-07-24,275.1828918457031,term1
2019-07-25,273.86834716796875,term1
2019-07-26,275.703369140625,term1
2019-07-29,275.20111083984375,term1
2019-07-30,274.525634765625,term1
2019-07-31,271.5221862792969,term1
2019-08-01,269.1578369140625,term1
2019-08-02,267.1312255859375,term1
2019-08-05,259.0978088378906,term1
2019-08-06,262.73101806640625,term1
2019-08-07,262.8862609863281,term1
2019-08-08,268.0441589355469,term1
2019-08-09,266.2183532714844,term1
2019-08-12,262.97747802734375,term1
2019-08-13,267.0672912597656,term1
2019-08-14,259.1707458496094,term1
2019-08-15,259.8553466796875,term1
2019-08-16,263.68963623046875,term1
2019-08-19,266.8664245605469,term1
2019-08-20,264.8216247558594,term1
2019-08-21,266.9759521484375,term1
2019-08-22,266.89385986328125,term1
2019-08-23,260.0379943847656,term1
2019-08-26,262.9136047363281,term1
2019-08-27,261.8820495605469,term1
2019-08-28,263.72607421875,term1
2019-08-29,267.0946350097656,term1
2019-08-30,266.9759521484375,term1
2019-09-03,265.41497802734375,term1
2019-09-04,268.42755126953125,term1
2019-09-05,271.8782043457031,term1
2019-09-06,272.0881652832031,term1
2019-09-09,272.22515869140625,term1
2019-09-10,272.1612854003906,term1
2019-09-11,274.09661865234375,term1
2019-09-12,275.0459289550781,term1
2019-09-13,274.8634338378906,term1
2019-09-16,274.01446533203125,term1
2019-09-17,274.708251953125,term1
2019-09-18,274.87261962890625,term1
2019-09-19,274.8542175292969,term1
2019-09-20,273.5556335449219,term1
2019-09-23,273.49139404296875,term1
2019-09-24,271.345458984375,term1
2019-09-25,272.95037841796875,term1
2019-09-26,272.3817443847656,term1
2019-09-27,270.9143981933594,term1
2019-09-30,272.1708068847656,term1
2019-10-01,268.93341064453125,term1
2019-10-02,264.1827392578125,term1
2019-10-03,266.34716796875,term1
2019-10-04,269.9514465332031,term1
2019-10-07,268.7866516113281,term1
2019-10-08,264.61376953125,term1
2019-10-09,267.1266174316406,term1
2019-10-10,268.93341064453125,term1
2019-10-11,271.7213439941406,term1
2019-10-14,271.41876220703125,term1
2019-10-15,274.10595703125,term1
2019-10-16,273.6656799316406,term1
2019-10-17,274.4727783203125,term1
2019-10-18,273.2713928222656,term1
2019-10-21,275.1238708496094,term1
2019-10-22,274.22509765625,term1
2019-10-23,275.0229797363281,term1
2019-10-24,275.47247314453125,term1
2019-10-25,276.6004638671875,term1
2019-10-28,278.1595153808594,term1
2019-10-29,278.07696533203125,term1
2019-10-30,278.92999267578125,term1
2019-10-31,278.1870422363281,term1
2019-11-01,280.76409912109375,term1
2019-11-04,281.8922119140625,term1
2019-11-05,281.5803527832031,term1
2019-11-06,281.6445007324219,term1
2019-11-07,282.635009765625,term1
2019-11-08,283.3320617675781,term1
2019-11-11,282.7909240722656,term1
2019-11-12,283.3870849609375,term1
2019-11-13,283.47882080078125,term1
2019-11-14,283.8914794921875,term1
2019-11-15,285.9458312988281,term1
2019-11-18,286.1567077636719,term1
2019-11-19,286.0741882324219,term1
2019-11-20,285.0103759765625,term1
2019-11-21,284.5517578125,term1
2019-11-22,285.1845703125,term1
2019-11-25,287.3948974609375,term1
2019-11-26,288.0459899902344,term1
2019-11-27,289.3299560546875,term1
2019-11-29,288.2569274902344,term1
2019-12-02,285.8082580566406,term1
2019-12-03,283.8914794921875,term1
2019-12-04,285.64312744140625,term1
2019-12-05,286.1567077636719,term1
2019-12-06,288.7705078125,term1
2019-12-09,287.862548828125,term1
2019-12-10,287.5416259765625,term1
2019-12-11,288.35784912109375,term1
2019-12-12,290.84320068359375,term1
2019-12-13,291.0174255371094,term1
2019-12-16,293.0167236328125,term1
2019-12-17,293.08099365234375,term1
2019-12-18,293.0992736816406,term1
2019-12-19,294.3006286621094,term1
2019-12-20,295.5909729003906,term1
2019-12-23,296.0425109863281,term1
2019-12-24,296.0517272949219,term1
2019-12-26,297.6277160644531,term1
2019-12-27,297.5539855957031,term1
2019-12-30,295.9134826660156,term1
2019-12-31,296.6324157714844,term1
2020-01-02,299.406494140625,term1
2020-01-03,297.13922119140625,term1
2020-01-06,298.2729187011719,term1
2020-01-07,297.4341125488281,term1
2020-01-08,299.0193786621094,term1
2020-01-09,301.0469055175781,term1
2020-01-10,300.1806335449219,term1
2020-01-13,302.2449951171875,term1
2020-01-14,301.7842102050781,term1
2020-01-15,302.4662170410156,term1
2020-01-16,304.9822082519531,term1
2020-01-17,305.9315490722656,term1
2020-01-21,305.33245849609375,term1
2020-01-22,305.36932373046875,term1
2020-01-23,305.71954345703125,term1
2020-01-24,303.0007019042969,term1
2020-01-27,298.1438293457031,term1
2020-01-28,301.2681579589844,term1
2020-01-29,301.0191955566406,term1
2020-01-30,301.9962158203125,term1
2020-01-31,296.5126037597656,term1
2020-02-03,298.7152404785156,term1
2020-02-04,303.2680358886719,term1
2020-02-05,306.77020263671875,term1
2020-02-06,307.8023376464844,term1
2020-02-07,306.16192626953125,term1
2020-02-10,308.4474792480469,term1
2020-02-11,308.9820556640625,term1
2020-02-12,310.9728088378906,term1
2020-02-13,310.6409912109375,term1
2020-02-14,311.13873291015625,term1
2020-02-18,310.33685302734375,term1
2020-02-19,311.8206481933594,term1
2020-02-20,310.5397033691406,term1
2020-02-21,307.3415832519531,term1
2020-02-24,297.1484680175781,term1
2020-02-25,288.14422607421875,term1
