day,negative,neutral,positive,total,positive_ratio,negative_ratio,neutral_ratio
2018-01-29,0,1,0,1,0.0,0.0,1.0
2018-01-31,0,1,0,1,0.0,0.0,1.0
2018-02-01,0,2,1,3,0.3333333333333333,0.0,0.6666666666666666
2018-02-02,0,6,0,6,0.0,0.0,1.0
2018-02-03,0,1,1,2,0.5,0.0,0.5
2018-02-04,1,1,2,4,0.5,0.25,0.25
2018-02-05,1,3,3,7,0.42857142857142855,0.14285714285714285,0.42857142857142855
2018-02-06,1,2,2,5,0.4,0.2,0.4
2018-02-07,0,3,4,7,0.5714285714285714,0.0,0.42857142857142855
2018-02-08,0,4,1,5,0.2,0.0,0.8
2018-02-09,0,3,1,4,0.25,0.0,0.75
2018-02-10,2,7,0,9,0.0,0.2222222222222222,0.7777777777777778
2018-02-11,0,1,3,4,0.75,0.0,0.25
2018-02-12,1,2,0,3,0.0,0.3333333333333333,0.6666666666666666
2018-02-13,0,2,0,2,0.0,0.0,1.0
2018-02-14,0,2,2,4,0.5,0.0,0.5
2018-02-15,2,3,2,7,0.2857142857142857,0.2857142857142857,0.42857142857142855
2018-02-16,1,2,0,3,0.0,0.3333333333333333,0.6666666666666666
2018-02-17,0,8,0,8,0.0,0.0,1.0
2018-02-18,3,8,1,12,0.08333333333333333,0.25,0.6666666666666666
2018-02-19,0,3,0,3,0.0,0.0,1.0
2018-02-20,0,8,5,13,0.38461538461538464,0.0,0.6153846153846154
2018-02-21,1,5,2,8,0.25,0.125,0.625
2018-02-22,1,4,5,10,0.5,0.1,0.4
2018-02-23,1,5,4,10,0.4,0.1,0.5
2018-02-24,2,6,2,10,0.2,0.2,0.6
2018-02-25,1,3,1,5,0.2,0.2,0.6
2018-02-27,0,6,2,8,0.25,0.0,0.75
2018-02-28,0,6,4,10,0.4,0.0,0.6
2018-03-01,0,4,2,6,0.3333333333333333,0.0,0.6666666666666666
2018-03-02,0,7,6,13,0.46153846153846156,0.0,0.5384615384615384
2018-03-03,0,2,2,4,0.5,0.0,0.5
2018-03-04,0,0,1,1,1.0,0.0,0.0
2018-03-05,0,4,2,6,0.3333333333333333,0.0,0.6666666666666666
2018-03-06,1,5,2,8,0.25,0.125,0.625
2018-03-07,3,1,2,6,0.3333333333333333,0.5,0.16666666666666666
2018-03-08,0,2,3,5,0.6,0.0,0.4
2018-03-09,0,3,2,5,0.4,0.0,0.6
2018-03-10,1,6,4,11,0.36363636363636365,0.09090909090909091,0.5454545454545454
2018-03-11,0,2,4,6,0.6666666666666666,0.0,0.3333333333333333
2018-03-12,1,2,3,6,0.5,0.16666666666666666,0.3333333333333333
2018-03-13,0,6,2,8,0.25,0.0,0.75
2018-03-14,2,3,5,10,0.5,0.2,0.3
2018-03-15,0,5,1,6,0.16666666666666666,0.0,0.8333333333333334
2018-03-16,1,1,2,4,0.5,0.25,0.25
2018-03-17,0,4,0,4,0.0,0.0,1.0
2018-03-18,0,4,0,4,0.0,0.0,1.0
2018-03-19,2,1,0,3,0.0,0.6666666666666666,0.3333333333333333
2018-03-20,0,1,1,2,0.5,0.0,0.5
2018-03-21,1,5,1,7,0.14285714285714285,0.14285714285714285,0.7142857142857143
2018-03-22,2,4,2,8,0.25,0.25,0.5
2018-03-23,1,5,0,6,0.0,0.16666666666666666,0.8333333333333334
2018-03-24,0,1,0,1,0.0,0.0,1.0
2018-03-25,0,5,2,7,0.2857142857142857,0.0,0.7142857142857143
2018-03-26,0,1,3,4,0.75,0.0,0.25
2018-03-27,0,2,1,3,0.3333333333333333,0.0,0.6666666666666666
2018-03-28,1,5,3,9,0.3333333333333333,0.1111111111111111,0.5555555555555556
2018-03-29,1,1,2,4,0.5,0.25,0.25
2018-03-31,0,3,0,3,0.0,0.0,1.0
